[Zone]  ID=ari_jasci_scoutcave1; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=False; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=50; darkG=55; darkB=55; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pOil; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=p2; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pWoodDark; zoneMisc2Palette=pWoodDark; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=sunbeam_circle_small; q=1; x=0; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=6; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=8; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=8; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=8; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=8; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=10; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=10; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=10; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=10; y=13;
[Item] ID=sunbeam_circle_big; q=1; x=10; y=15;
[Item] ID=sunbeam_circle_big; q=1; x=10; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=12; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=12; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=12; y=13;
[Item] ID=sunbeam_circle_small; q=1; x=14; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=14; y=13;
[Item] ID=sunbeam_circle_small; q=1; x=15; y=15;
[Item] ID=sunbeam_circle_small; q=1; x=16; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=16; y=13;
[Item] ID=sunbeam_circle_big; q=1; x=16; y=18;
[Item] ID=travelPoint_1; q=1; r=90; x=17; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=17; y=10;
[Item] ID=travelPoint_0; q=1; r=270; x=17; y=16;
[Item] ID=sunbeam_circle_big; q=1; x=17; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=18; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=18; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=18; y=13;
[Item] ID=sunbeam_circle_big; q=1; x=18; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=20; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=20; y=13;
[Item] ID=sunbeam_circle_small; q=1; x=22; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=22; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=22; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=24; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=24; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=24; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=24; y=11;
[Item] ID=sunbeam_circle_big; q=1; x=24; y=13;
[Item] ID=sunbeam_circle_big; q=1; x=24; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=26; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=26; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=26; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=28; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=28; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=28; y=9;
[Item] ID=sunbeam_circle_big; q=1; x=29; y=13;
[Item] ID=sunbeam_circle_big; q=1; x=29; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=30; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=30; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=30; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=30; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=32; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=32; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=32; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=32; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=34; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=34; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=34; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=34; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=34; y=9;
[Item] ID=sunbeam_circle_big; q=1; x=34; y=13;
[Item] ID=sunbeam_circle_big; q=1; x=34; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=36; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=36; y=3;
[Item] ID=sunbeam_circle_med; q=1; x=36; y=4;
[Item] ID=sunbeam_circle_small; q=1; x=36; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=36; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=36; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=38; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=38; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=38; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=38; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=38; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=39; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=39; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=39; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=39; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=39; y=9;
[Item] ID=sunbeam_circle_big; q=1; x=39; y=13;
[Item] ID=sunbeam_circle_big; q=1; x=39; y=18;



[Trigger] numID=0; aliasID=leaveTo_WorldMap;
topX=11;topY=18;btmX=23;btmY=19;
triggerImmediatelyOnEnteringZone=False; triggeredByElement=none; travelModeOnly=False; triggerOnPlayerActorOnly=False; onlyExecuteOnce=False; triggerForEveryStepInArea=False; disableOnZoneEntry=False; fReq=1;
[TriggerEffect] numID=0; effectID=travel_leaveLocation; sValue=; sValue2=; bValue1=False; bValue2=False; fValue=0; delay=0; fReq=1; taskString=; xValue=-1; yValue=-1;



[Trigger] numID=1; aliasID=leaveTo_LostCave2;
topX=13;topY=5;btmX=21;btmY=6;
triggerImmediatelyOnEnteringZone=False; triggeredByElement=none; travelModeOnly=False; triggerOnPlayerActorOnly=False; onlyExecuteOnce=False; triggerForEveryStepInArea=False; disableOnZoneEntry=False; fReq=1;
[TriggerEffect] numID=1; effectID=travel_point; sValue=ari_jasci_scoutcave2; sValue2=; bValue1=False; bValue2=False; fValue=0; delay=0; fReq=1; taskString=; xValue=-1; yValue=-1;



[Trigger] numID=2; aliasID=trigger_dark_talk;
topX=14;topY=9;btmX=20;btmY=10;
triggerImmediatelyOnEnteringZone=False; triggeredByElement=none; travelModeOnly=False; triggerOnPlayerActorOnly=False; onlyExecuteOnce=True; triggerForEveryStepInArea=False; disableOnZoneEntry=False; fReq=1;
[TriggerEffect] numID=2; effectID=talk; sValue=player; sValue2=ari_lostcave_darkness; bValue1=False; bValue2=False; fValue=0; delay=0; fReq=1; taskString=; xValue=-1; yValue=-1;



